,object_id,events,swing_indicator_from_samples,runs_game_t1,runs_game_t2,game_play,outs_inning,outs_play,count_balls_pa,count_balls_play,strikes_pa,strikes_play,eventId_pitch,pitch_type,pitch_result,pitch_action,pitch_speed_mph,pitch_speed_kph,pitch_speed_mps,pitch_spin_rpm,eventId_hit,hit_speed_mph,hit_speed_kph,hit_speed_mps,hit_spin,stroke_type,stroke_attempt,bat_nearest,bat_hit,bat_first,bat_last,swing_displacement_head_nearest,swing_displacement_handle_nearest,swing_time_nearest,found_nearest_inidicator,hit_inidicator,swing_displacement_head_hit,swing_displacement_handle_hit,swing_time_hit,bat_average_speed_bhit,bat_max_speed_bhit,bat_total_displacement_bhit,bat_max_instantaneous_displacement_bhit,bat_swing_duration_bhit,ball_ahit_flight_time,ball_ahit_height,ball_ahit_range,ball_hit_position,bat_hit_position,relative_distance_from_handle_to_hit,eventId_events,hit_spray_angle,hit_launch_angle,events_type,hit_indicator,events_teamId,events_personId
22,12345634_5780.jsonl,"{'start': {'angle': [36.34656342392685, 55.11368228930361]}, 'type': 'Hit', 'teamId': {'mlbId': 90068}, 'personId': {'mlbId': 360906992}, 'eventId': '3622c91b-e3b5-46e4-a17a-f1643dd88661'}",SwingRecorded,9,0,0,2,0,1,0,2,0,43c27fc8-6628-44d7-88a2-5c4b90c8a981,Slider,Strike,Foul,86.0,138.0,38.0,1350.0,3622c91b-e3b5-46e4-a17a-f1643dd88661,87.0,140.0,39.0,4660.0,{},{},[],"[{'event': 'Hit', 'time': 0.4405245830902976, 'head': {'pos': [1.8517410620214516, 1.2610780064681566, 2.633051380011017]}, 'handle': {'pos': [-0.3777317820157942, 1.3757529805113404, 4.192396875435298]}}]","[{'event': 'First', 'time': -0.3947139000000003, 'head': {'pos': [-3.4335762595563875, 0.01202170783412308, 6.689102439567654]}, 'handle': {'pos': [-1.7535412636017607, -1.6935867524969335, 5.391550868921544]}}]","[{'event': 'Last', 'time': 0.6852041, 'head': {'pos': [-5.608146884760443, -3.582127873690436, 5.802721016920266]}, 'handle': {'pos': [-4.310974629057594, -1.3274583305262302, 4.997073900476706]}}]",,,,No,Hit,6.7783678732168715,3.570947833046453,0.8352384830902979,13.370376241433325,161.75271554799772,6.568333890845911,0.5391218009214813,0.8332700000000003,,,,[0.50196559 1.59310495 3.16555962],[0.68586285 1.32104602 3.44849389],0.4770610380297621,3622c91b-e3b5-46e4-a17a-f1643dd88661,36.34656342392685,55.11368228930361,Hit,Hit,90068.0,360906992.0
23,12345634_5655.jsonl,"{'start': {'angle': [13.967003391340644, -38.8460110325163]}, 'type': 'Hit', 'teamId': {'mlbId': 63813}, 'personId': {'mlbId': 412098649}, 'eventId': '1a7f5cfe-4838-4db0-ad08-a5be97749d79'}",SwingRecorded,6,0,0,1,1,1,0,2,0,84f189a5-98fd-478d-b982-e8032a1f14bf,FourSeamFastball,HitIntoPlay,{},92.0,148.0,41.0,2380.0,1a7f5cfe-4838-4db0-ad08-a5be97749d79,106.0,171.0,48.0,6020.0,{},{},[],"[{'event': 'Hit', 'time': 0.4226968191888787, 'head': {'pos': [-1.177477887160787, -0.5615733323737013, 1.2465452471861873]}, 'handle': {'pos': [1.5347476573830936, -0.4136865347885891, 1.4394700426247184]}}]","[{'event': 'First', 'time': -0.4239219000000003, 'head': {'pos': [2.719599583913294, -2.028781014220644, 7.085782158005188]}, 'handle': {'pos': [1.5177808572248799, -2.670172323514769, 4.727921512713712]}}]","[{'event': 'Last', 'time': 0.8491931, 'head': {'pos': [2.8683849959503602, -0.7104907629091195, 4.640241603713029]}, 'handle': {'pos': [5.070059887585535, 0.8716846989931213, 4.386063781374029]}}]",,,,No,Hit,7.171931322725759,3.9882237974017056,0.846618719188879,13.719057162718928,152.22030563545206,7.167443837781768,0.5079591599055341,0.8465180000000003,,,,[-1.05440898e-03 -3.94372222e-01  1.20630804e+00],[-0.00422423 -0.49760051  1.33000059],0.5674203189489319,1a7f5cfe-4838-4db0-ad08-a5be97749d79,13.967003391340644,-38.8460110325163,Hit,Hit,63813.0,412098649.0
26,12345634_5494.jsonl,{'eventId': ''},SwingRecorded,7,0,0,2,0,1,0,0,1,0446bf99-d748-4e31-9017-51914e6d2ac1,Slider,Strike,{},86.0,138.0,38.0,2580.0,{},,,,,{},{},"[{'event': 'Nearest', 'time': 0.4220485024225424, 'head': {'pos': [-0.3214863208971639, 3.1933100002352144, 1.8492579735919026]}, 'handle': {'pos': [-2.259367478318389, 1.5628501348831505, 2.8499952684196868]}}]",[],"[{'event': 'First', 'time': -0.3977, 'head': {'pos': [-3.13973008184194, -1.2762584704124906, 6.215437556199201]}, 'handle': {'pos': [-1.0613378689960093, -2.1386967180049306, 4.681897871436395]}}]","[{'event': 'Last', 'time': 0.805462, 'head': {'pos': [-0.8927845217677043, -2.8574591623517125, 4.7915180554673364]}, 'handle': {'pos': [-3.268671462091395, -1.5272616786920186, 4.759993662751866]}}]",6.854419330438506,4.3003012912909,0.8197485024225424,Nearest,NoHit,,,,20.70936320295202,144.91821260477215,6.687653241323323,0.48301240261170597,0.81655,,,,,,,,,,,,,
29,12345634_7592.jsonl,"{'start': {'angle': [167.565568528964, -27.136073984339102]}, 'type': 'Hit', 'teamId': {'mlbId': 63813}, 'personId': {'mlbId': 797957728}, 'eventId': 'a39f573a-8043-41fb-8ddc-56c223c4199b'}",SwingRecorded,0,0,0,2,0,1,0,2,0,35599748-9823-46d1-8426-f66e87af00b0,Sinker,Strike,Foul,97.0,156.0,43.0,2230.0,a39f573a-8043-41fb-8ddc-56c223c4199b,80.0,129.0,36.0,3440.0,{},{},[],"[{'event': 'Hit', 'time': 0.407090850116346, 'head': {'pos': [0.43289473684524693, -0.9527346758589813, 2.313658146417971]}, 'handle': {'pos': [-1.360786951915326, 0.945960920936125, 3.0836704295584556]}}]","[{'event': 'First', 'time': -0.4458935000000002, 'head': {'pos': [-4.216481774148916, -0.13095141185490916, 5.742609452585892]}, 'handle': {'pos': [-1.780403937505759, -1.32782124766088, 5.522870389092127]}}]","[{'event': 'Last', 'time': 0.8272365, 'head': {'pos': [-2.616717032953986, -1.9789120550399961, 6.092664661205491]}, 'handle': {'pos': [-4.09747014969196, -0.10329106864664658, 4.787033009956585]}}]",,,,No,Hit,5.835215226026555,3.3609314493775027,0.8529843501163462,11.346326481418549,112.07914713843707,5.672679341716011,0.3735597974124079,0.8498650000000002,,,,[ 0.77475915 -0.42744775  1.41881479],[ 0.50664148 -1.03079903  2.2819993 ],1.041114730733692,a39f573a-8043-41fb-8ddc-56c223c4199b,167.565568528964,-27.136073984339102,Hit,Hit,63813.0,797957728.0
30,12345634_7975.jsonl,{'eventId': ''},SwingRecorded,9,0,0,0,1,3,0,2,1,b41565fb-679a-4bcd-a7ca-a95c175fff8b,Sinker,Strike,FoulTip,95.0,154.0,43.0,2300.0,{},,,,,{},{},"[{'event': 'Nearest', 'time': 0.3970248941590504, 'head': {'pos': [-0.2790876414971784, 1.5459815705316324, 2.5763710558650006]}, 'handle': {'pos': [2.053933191824302, 1.3174529692819124, 3.9620284290168635]}}]",[],"[{'event': 'First', 'time': -0.4346814, 'head': {'pos': [3.096727071222436, -1.6937344753113417, 6.897262370915851]}, 'handle': {'pos': [1.8520112161447702, -2.2637796034138393, 4.543331854074666]}}]","[{'event': 'Last', 'time': 0.7952215999999998, 'head': {'pos': [1.73195440608276, -1.2288709266634097, 3.546591443836308]}, 'handle': {'pos': [3.4726718393137523, -0.2199858218923164, 5.3816150265425495]}}]",6.36882931069663,3.633718879603001,0.8317062941590504,Nearest,NoHit,,,,12.547567119833353,127.15746546592206,6.28476304888292,0.42381583239787973,0.8299339999999997,,,,,,,,,,,,,
32,12345634_8192.jsonl,{'eventId': ''},SwingRecorded,7,0,0,2,0,2,0,2,0,63f6ce69-8fd3-40d1-99d4-703546d41898,Slider,Strike,Foul,86.0,138.0,38.0,2550.0,{},,,,,{},{},"[{'event': 'Nearest', 'time': 0.4497226296031474, 'head': {'pos': [-0.01612633524550284, -0.13998873754367314, 1.5227184911758487]}, 'handle': {'pos': [-1.805602234920366, 1.520485831445036, 2.7293079392881414]}}]",[],"[{'event': 'First', 'time': -0.3987888, 'head': {'pos': [-2.8993696972981335, -1.1555413994361108, 6.268934437100396]}, 'handle': {'pos': [-1.090237048012629, -2.25719595656241, 4.557603323574027]}}]","[{'event': 'Last', 'time': 0.8642762, 'head': {'pos': [-2.9856888864763933, -2.080172995019446, 6.9070991556474866]}, 'handle': {'pos': [-4.361323610760011, -0.22206470394606329, 5.46823829716922]}}]",5.645441107588123,4.257380773936453,0.8485114296031474,Nearest,NoHit,,,,16.460084601150086,114.07233412365224,5.53897903063643,0.38008901730000944,0.846487,,,,,,,,,,,,,
34,12345634_7990.jsonl,"{'start': {'angle': [-38.037489211746504, -1.963628321279153]}, 'type': 'Hit', 'teamId': {'mlbId': 90068}, 'personId': {'mlbId': 558675411}, 'eventId': '51f59abb-a2a9-41cf-ac1c-06a88b0a8e28'}",SwingRecorded,9,0,0,1,1,3,0,2,0,afc00eb1-0f89-453f-980e-ebf3944b6a5d,Slider,HitIntoPlay,{},85.0,137.0,38.0,1260.0,51f59abb-a2a9-41cf-ac1c-06a88b0a8e28,89.0,143.0,40.0,2440.0,{},{},[],"[{'event': 'Hit', 'time': 0.4392029208244673, 'head': {'pos': [0.16904877953838296, 2.1361682056733096, 3.5350663832653617]}, 'handle': {'pos': [-2.3686120756187217, 1.3176499752042192, 4.087844075167258]}}]","[{'event': 'First', 'time': -0.3919615, 'head': {'pos': [-2.594470766258068, 0.03566708946782134, 6.282443203821018]}, 'handle': {'pos': [-1.7164705134643534, -1.6141846195835374, 4.30194761425112]}}]","[{'event': 'Last', 'time': 0.8546064999999997, 'head': {'pos': [-1.1121471277091683, -1.3680093972064045, 4.997374201589703]}, 'handle': {'pos': [-3.6010916535751383, -0.5534857045905377, 4.251073868345397]}}]",,,,No,Hit,4.4268752651623275,3.011109933850251,0.8311644208244673,13.629072179003167,120.14426157229424,4.433658239611093,0.4004408238204537,0.8299349999999996,,,,[-0.61836962  2.12515938  3.77637311],[-0.56351088  1.89988232  3.69463957],0.7113248393162087,51f59abb-a2a9-41cf-ac1c-06a88b0a8e28,-38.037489211746504,-1.963628321279153,Hit,Hit,90068.0,558675411.0
35,12345634_700.jsonl,{'eventId': ''},SwingRecorded,0,0,0,1,0,0,1,0,0,f19f00e3-b86d-4916-9db3-c180fd5cabad,Changeup,Ball,Called,85.0,136.0,38.0,1820.0,{},,,,,{},{},"[{'event': 'Nearest', 'time': 0.4726123438578125, 'head': {'pos': [0.22127179935030777, -1.4255356356639726, 1.8673425327543545]}, 'handle': {'pos': [1.015682850093644, 0.7749616981972173, 3.2608921200306704]}}]",[],"[{'event': 'First', 'time': -0.3691302, 'head': {'pos': [2.997272045495648, -1.7615744268503761, 7.083092437651977]}, 'handle': {'pos': [1.8089037290513539, -2.5239753883761433, 4.7546201048966]}}]","[{'event': 'Last', 'time': 0.9241497999999997, 'head': {'pos': [2.7635084726484944, -1.8606075846591454, 4.55072979221599]}, 'handle': {'pos': [0.8574333441914781, -0.3036411166712816, 3.3854011225651077]}}]",5.918035696599047,3.7072103469799504,0.8417425438578126,Nearest,NoHit,,,,10.426321175381974,60.02989616723843,5.872884093308724,0.20007964392541083,0.8399650000000001,,,,,,,,,,,,,
39,12345636_25287.jsonl,{'eventId': ''},SwingRecorded,2,0,0,1,0,0,1,0,0,6bfa9ba9-75a2-46d3-91b3-65b4fe530ba5,{},Ball,BallInDirt,79.0,127.0,35.0,2340.0,{},,,,,{},{},"[{'event': 'Nearest', 'time': 0.472579199850043, 'head': {'pos': [0.6637193545568117, 1.3226076490746528, 2.7526224096687857]}, 'handle': {'pos': [-2.0191997592271442, 1.4856069891663148, 3.1892390952108345]}}]",[],"[{'event': 'First', 'time': -0.3529743, 'head': {'pos': [-3.3570728719245704, -0.30743753916695765, 6.24405713358131]}, 'handle': {'pos': [-1.695453228737198, -2.2510971599435288, 5.307859864835096]}}]","[{'event': 'Last', 'time': 0.8602067, 'head': {'pos': [-2.893900620306166, -1.4810318948328642, 5.574051521081119]}, 'handle': {'pos': [-1.880893980189556, 0.03550674962105056, 3.551877944696325]}}]",5.569015521219605,4.307705152336021,0.825553499850043,Nearest,NoHit,,,,12.52425995307065,63.61177756027851,5.583824484761937,0.21201805460840667,0.82323,,,,,,,,,,,,,
41,12345636_26864.jsonl,"{'start': {'angle': [-43.02897725634916, 44.09799528807388]}, 'type': 'Hit', 'teamId': {'mlbId': 90068}, 'personId': {'mlbId': 545569723}, 'eventId': '465d7cf5-6603-43cb-9d0b-f296bbf1a118'}",SwingRecorded,5,0,0,1,1,1,0,2,0,a17e37d0-665d-4e73-a986-34851adfe531,{},HitIntoPlay,{},82.0,132.0,37.0,2300.0,465d7cf5-6603-43cb-9d0b-f296bbf1a118,57.0,91.0,25.0,2380.0,{},{},[],"[{'event': 'Hit', 'time': 0.4542414038690693, 'head': {'pos': [0.16286690482682414, 2.133786197946755, 2.3607278583894726]}, 'handle': {'pos': [-2.0449737209958037, 1.1166260632247524, 3.587953557831426]}}]","[{'event': 'First', 'time': -0.3789063000000003, 'head': {'pos': [-3.3101314761027147, 0.01683321123674807, 6.31098146466153]}, 'handle': {'pos': [-1.6233050469219281, -1.9447711808389483, 5.461285817457272]}}]","[{'event': 'Last', 'time': 0.8476607, 'head': {'pos': [-1.4707159653585, -2.293024311283282, 4.976858955844252]}, 'handle': {'pos': [-3.771178855315674, -0.8374878945825699, 4.909463721151698]}}]",,,,No,Hit,5.669895171495238,3.6137696815944036,0.8331477038690696,12.527565792560514,127.89722680688237,5.625627190991364,0.4262814569473357,0.8299320000000003,,,,[-0.91633566  1.81446353  3.15506168],[-0.93352274  1.62867554  2.97015479],0.5034108748703661,465d7cf5-6603-43cb-9d0b-f296bbf1a118,-43.02897725634916,44.09799528807388,Hit,Hit,90068.0,545569723.0
43,12345636_26424.jsonl,{'eventId': ''},SwingRecorded,4,0,0,2,0,2,0,0,1,97095bd3-06af-49d4-8641-8c660e0bbd4f,{},Strike,Foul,93.0,150.0,42.0,2110.0,{},,,,,{},{},"[{'event': 'Nearest', 'time': 0.4107646125942863, 'head': {'pos': [0.7995280242797084, 0.5258024551224566, 2.813985716791216]}, 'handle': {'pos': [-1.4441626780006636, 1.4289072218787462, 4.065189816382488]}}]",[],"[{'event': 'First', 'time': -0.4291273, 'head': {'pos': [-2.4287448555107853, -0.7914101278488287, 6.3641350555084]}, 'handle': {'pos': [-1.3323951039874045, -1.5629262561093757, 3.9938949891354167]}}]","[{'event': 'Last', 'time': 0.8174316999999998, 'head': {'pos': [-1.9680715325999751, -2.0558350134098533, 3.8855080450168393]}, 'handle': {'pos': [-3.618453867801673, -0.15137766337073746, 4.917272667209084]}}]",4.975977803640482,2.994769190272182,0.8398919125942863,Nearest,NoHit,,,,10.832781683479048,124.53120780445607,4.794479063091341,0.41518704682003627,0.8365949999999998,,,,,,,,,,,,,
44,12345636_26484.jsonl,"{'start': {'angle': [-27.593581623597434, 9.22208122528584]}, 'type': 'Hit', 'teamId': {'mlbId': 63813}, 'personId': {'mlbId': 174158975}, 'eventId': '41896f11-de02-47ca-9e86-573cfb441944'}",SwingRecorded,3,0,0,0,0,0,0,0,0,5fe34b1b-30ac-4941-8f07-f48135784056,{},HitIntoPlay,{},82.0,132.0,37.0,2270.0,41896f11-de02-47ca-9e86-573cfb441944,96.0,154.0,43.0,280.0,{},{},[],"[{'event': 'Hit', 'time': 0.46090657444838, 'head': {'pos': [0.927132270855229, 1.6268923120504444, 2.1301918537175317]}, 'handle': {'pos': [-1.5833078051492586, 0.6671208035220105, 2.568126965667881]}}]","[{'event': 'First', 'time': -0.3746984000000003, 'head': {'pos': [-3.195263391700584, -1.5707230926096858, 6.6216614531882145]}, 'handle': {'pos': [-1.7059173540986479, -3.1851714648149674, 5.012107875380238]}}]","[{'event': 'Last', 'time': 0.8585425999999998, 'head': {'pos': [-0.8848963386546912, -2.0415710584120887, 3.215510245688246]}, 'handle': {'pos': [-3.237466861012331, -0.9422686269603191, 4.035390717226297]}}]",,,,No,Hit,6.884198532708662,4.5637957348265346,0.8356049744483803,14.076425182217987,120.84625822541375,6.788712899651013,0.402780578665301,0.8332710000000003,,,,[-0.21969109  1.72860455  2.66557914],[-0.09389429  1.23654155  2.3083054 ],0.5932878173860161,41896f11-de02-47ca-9e86-573cfb441944,-27.593581623597434,9.22208122528584,Hit,Hit,63813.0,174158975.0
